VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,trip_duration_min
2,2024-01-11 14:50:07,2024-01-11 15:18:27,1.0,11.88,1.0,N,132,138,1,47.1,5.0,0.5,5.0,0.0,1.0,60.35,0.0,1.75,28.33333333333333
2,2024-01-27 21:24:41,2024-01-27 21:43:22,1.0,3.78,1.0,N,100,238,1,20.5,1.0,0.5,3.0,0.0,1.0,28.5,2.5,0.0,18.683333333333334
1,2024-01-10 18:45:55,2024-01-10 18:55:16,1.0,1.0,1.0,N,239,143,1,10.0,5.0,0.5,3.3,0.0,1.0,19.8,2.5,0.0,9.35
2,2024-01-02 09:03:40,2024-01-02 09:16:07,1.0,2.02,1.0,N,239,237,1,13.5,0.0,0.5,3.5,0.0,1.0,21.0,2.5,0.0,12.45
2,2024-01-14 16:38:42,2024-01-14 16:48:51,1.0,2.22,1.0,N,170,236,1,12.8,0.0,0.5,1.2,0.0,1.0,18.0,2.5,0.0,10.15
2,2024-01-09 20:45:43,2024-01-09 20:50:08,1.0,0.79,1.0,N,237,229,1,6.5,1.0,0.5,3.45,0.0,1.0,14.95,2.5,0.0,4.416666666666667
2,2024-01-01 12:10:56,2024-01-01 12:20:01,1.0,1.65,1.0,N,229,236,1,11.4,0.0,0.5,3.08,0.0,1.0,18.48,2.5,0.0,9.083333333333334
2,2024-01-28 19:38:27,2024-01-28 19:58:50,1.0,2.99,1.0,N,162,249,1,20.5,0.0,0.5,4.9,0.0,1.0,29.4,2.5,0.0,20.383333333333333
2,2024-01-12 22:08:03,2024-01-12 22:17:33,2.0,1.83,1.0,N,161,140,1,11.4,1.0,0.5,2.0,0.0,1.0,18.4,2.5,0.0,9.5
2,2024-01-04 12:26:38,2024-01-04 12:48:05,1.0,2.09,1.0,N,114,87,1,19.1,0.0,0.5,4.62,0.0,1.0,27.72,2.5,0.0,21.45
1,2024-01-19 16:20:43,2024-01-19 16:29:40,,2.9,,,74,140,0,14.3,0.0,0.5,0.0,0.0,1.0,18.3,,,8.95
2,2024-01-06 11:02:59,2024-01-06 11:11:00,1.0,2.26,1.0,N,262,161,1,12.1,0.0,0.5,1.5,0.0,1.0,17.6,2.5,0.0,8.016666666666667
1,2024-01-03 14:02:02,2024-01-03 14:25:32,2.0,5.7,1.0,N,70,171,1,27.5,6.75,0.5,7.15,0.0,1.0,42.9,0.0,1.75,23.5
1,2024-01-07 12:37:52,2024-01-07 12:45:17,3.0,1.5,1.0,N,239,236,1,10.0,2.5,0.5,3.5,0.0,1.0,17.5,2.5,0.0,7.416666666666667
2,2024-01-24 07:39:36,2024-01-24 08:19:35,1.0,11.38,1.0,N,132,91,2,51.3,0.0,0.5,0.0,0.0,1.0,54.55,0.0,1.75,39.98333333333333
2,2024-01-26 06:41:55,2024-01-26 06:53:26,1.0,2.47,1.0,N,79,261,1,14.2,0.0,0.5,3.64,0.0,1.0,21.84,2.5,0.0,11.516666666666667
2,2024-01-29 17:52:30,2024-01-29 18:07:50,1.0,2.64,1.0,N,161,239,1,17.0,2.5,0.5,3.52,0.0,1.0,27.02,2.5,0.0,15.333333333333336
2,2024-01-16 13:16:29,2024-01-16 14:14:49,1.0,9.19,1.0,N,234,138,1,54.1,5.0,0.5,15.78,0.0,1.0,78.88,2.5,0.0,58.333333333333336
2,2024-01-01 05:49:16,2024-01-01 06:28:49,1.0,16.73,2.0,N,230,132,1,70.0,0.0,0.5,14.8,0.0,1.0,88.8,2.5,0.0,39.55
2,2024-01-26 10:33:45,2024-01-26 10:53:12,1.0,4.22,1.0,N,236,107,1,23.3,0.0,0.5,5.46,0.0,1.0,32.76,2.5,0.0,19.45
1,2024-01-19 12:15:39,2024-01-19 13:05:27,1.0,12.9,1.0,N,132,106,1,55.5,1.75,0.5,11.75,0.0,1.0,70.5,0.0,1.75,49.8
1,2024-01-27 21:08:19,2024-01-27 21:15:46,2.0,1.0,1.0,N,142,163,1,8.6,3.5,0.5,2.7,0.0,1.0,16.3,2.5,0.0,7.45
2,2024-01-04 16:56:41,2024-01-04 17:18:23,1.0,4.99,1.0,N,261,162,2,26.1,2.5,0.5,0.0,0.0,1.0,32.6,2.5,0.0,21.7
2,2024-01-01 10:37:39,2024-01-01 10:46:11,1.0,1.59,1.0,N,233,186,1,10.7,0.0,0.5,3.68,0.0,1.0,18.38,2.5,0.0,8.533333333333333
2,2024-01-27 16:14:16,2024-01-27 16:22:55,1.0,1.71,1.0,N,43,238,1,10.7,0.0,0.5,2.94,0.0,1.0,17.64,2.5,0.0,8.65
2,2024-01-14 13:23:30,2024-01-14 13:39:57,2.0,3.02,1.0,N,100,262,1,17.7,0.0,0.5,4.34,0.0,1.0,26.04,2.5,0.0,16.450000000000003
2,2024-01-14 20:13:35,2024-01-14 20:28:03,1.0,2.14,2.0,N,170,158,1,70.0,0.0,0.5,15.0,6.94,1.0,95.94,2.5,0.0,14.466666666666669
2,2024-01-24 12:11:58,2024-01-24 12:29:31,,2.28,,,238,237,0,18.65,0.0,0.5,4.53,0.0,1.0,27.18,,,17.55
2,2024-01-02 17:20:53,2024-01-02 18:16:14,2.0,16.87,2.0,N,161,132,1,70.0,5.0,0.5,9.0,6.94,1.0,94.94,2.5,0.0,55.35
2,2024-01-07 00:08:17,2024-01-07 00:48:00,2.0,21.16,5.0,N,132,265,1,140.0,0.0,0.0,10.0,12.75,1.0,163.75,0.0,0.0,39.71666666666667
2,2024-01-17 22:15:52,2024-01-17 22:36:32,1.0,5.23,1.0,N,246,33,1,26.1,1.0,0.5,6.22,0.0,1.0,37.32,2.5,0.0,20.666666666666668
2,2024-01-06 14:44:03,2024-01-06 15:25:46,1.0,9.74,1.0,N,43,255,1,47.1,0.0,0.5,0.0,6.94,1.0,58.04,2.5,0.0,41.71666666666667
2,2024-01-30 17:19:55,2024-01-30 17:32:30,1.0,1.73,1.0,N,161,141,1,12.8,2.5,0.5,3.86,0.0,1.0,23.16,2.5,0.0,12.583333333333334
2,2024-01-08 23:26:12,2024-01-08 23:37:16,1.0,1.76,1.0,N,114,158,1,12.1,1.0,0.5,2.0,0.0,1.0,19.1,2.5,0.0,11.066666666666666
2,2024-01-02 18:39:06,2024-01-02 18:40:59,1.0,0.61,1.0,N,140,140,1,5.1,2.5,0.5,2.32,0.0,1.0,13.92,2.5,0.0,1.8833333333333333
2,2024-01-15 15:20:54,2024-01-15 15:31:27,1.0,1.32,1.0,N,239,48,1,11.4,0.0,0.5,3.85,0.0,1.0,19.25,2.5,0.0,10.55
2,2024-01-21 15:03:59,2024-01-21 15:13:47,2.0,2.24,1.0,N,141,75,2,12.8,0.0,0.5,0.0,0.0,1.0,16.8,2.5,0.0,9.8
1,2024-01-04 09:48:21,2024-01-04 09:59:12,1.0,1.5,1.0,N,237,75,1,11.4,2.5,0.5,3.85,0.0,1.0,19.25,2.5,0.0,10.85
2,2024-01-08 23:55:59,2024-01-09 00:15:13,1.0,4.5,1.0,N,148,189,1,23.3,1.0,0.5,3.0,0.0,1.0,31.3,2.5,0.0,19.23333333333333
2,2024-01-10 10:28:40,2024-01-10 10:35:57,1.0,1.28,1.0,N,262,237,1,8.6,0.0,0.5,2.52,0.0,1.0,15.12,2.5,0.0,7.283333333333333
2,2024-01-24 19:01:15,2024-01-24 19:18:55,1.0,2.76,1.0,N,68,143,1,17.7,2.5,0.5,3.63,0.0,1.0,27.83,2.5,0.0,17.666666666666668
2,2024-01-14 06:18:02,2024-01-14 06:23:07,1.0,0.99,1.0,N,263,236,2,7.9,0.0,0.5,0.0,0.0,1.0,11.9,2.5,0.0,5.083333333333333
